,make,model,year,engine_capacity,power,fuel_type,transmission,drive_mode,price,mileage
1563,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1564,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1565,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1566,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1567,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1568,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1569,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1570,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1571,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1572,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1573,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1574,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1575,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1576,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1577,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1578,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1579,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1580,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1581,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1582,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1583,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1584,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1585,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1586,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1587,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1588,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1589,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1590,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1591,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1592,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1593,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1594,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1595,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1596,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1597,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1598,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1599,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1600,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1601,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1602,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1603,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1604,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1605,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1606,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1607,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1608,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1609,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1610,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1611,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1612,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1613,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1614,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1615,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1616,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1617,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1618,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1619,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1620,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1621,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1622,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1623,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1624,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1625,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1626,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1627,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1628,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1629,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1630,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1631,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1632,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1633,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1634,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1635,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1636,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1637,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1638,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1639,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1640,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1641,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1642,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1643,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1644,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1645,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1646,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1647,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1648,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1649,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1650,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1651,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1652,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1653,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1654,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1655,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1656,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1657,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1658,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1659,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1660,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1661,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1662,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1663,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1664,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1665,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1666,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1667,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1668,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1669,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1670,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1671,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1672,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1673,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1674,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1675,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1676,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1677,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1678,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1679,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1680,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1681,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1682,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1683,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1684,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1685,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1686,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1687,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1688,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1689,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1690,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1691,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1692,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1693,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1694,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1695,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1696,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1697,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1698,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1699,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1700,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1701,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1702,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1703,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1704,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1705,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1706,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1707,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1708,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1709,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1710,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1711,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1712,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1713,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1714,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1715,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1716,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1717,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1718,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1719,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1720,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1721,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1722,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1723,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1724,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1725,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1726,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1727,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1728,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1729,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1730,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1731,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1732,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1733,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1734,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1735,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1736,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1737,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1738,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1739,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1740,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1741,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1742,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1743,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1744,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1745,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1746,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1747,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1748,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1749,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1750,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1751,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1752,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1753,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1754,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1755,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1756,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1757,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1758,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1759,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1760,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1761,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1762,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1763,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1764,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1765,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1766,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1767,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1768,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1769,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1770,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1771,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1772,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1773,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1774,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1775,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1776,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1777,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1778,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1779,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1780,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1781,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1782,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1783,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1784,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1785,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1786,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1787,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1788,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1789,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1790,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1791,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1792,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1793,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1794,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1795,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1796,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1797,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1798,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1799,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1800,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1801,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1802,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1803,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1804,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1805,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1806,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1807,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1808,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1809,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1810,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1811,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1812,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1813,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1814,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1815,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1816,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1817,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1818,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1819,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1820,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1821,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1822,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1823,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1824,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1825,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1826,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1827,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1828,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1829,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1830,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1831,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1832,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1833,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1834,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1835,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1836,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1837,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1838,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1839,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1840,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1841,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1842,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1843,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1844,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1845,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1846,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1847,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1848,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1849,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1850,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1851,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1852,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1853,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1854,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1855,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1856,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1857,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1858,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1859,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1860,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1861,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1862,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1863,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1864,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1865,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1866,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1867,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1868,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1869,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1870,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1871,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
1872,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
1873,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
1874,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
1875,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
1876,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
1877,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
1878,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
1879,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
1880,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1881,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
1882,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
1883,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
1884,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
1885,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
1886,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
1887,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
1888,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
1889,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
1890,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
1891,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
