,make,model,year,engine_capacity,power,fuel_type,transmission,drive_mode,price,mileage
66,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
67,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
68,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
69,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
70,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
71,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
72,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
73,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
74,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
75,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
76,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
77,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
78,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
79,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
80,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
81,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
82,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
83,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
84,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
85,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
86,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
87,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
88,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
89,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
90,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
91,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
92,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
93,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
94,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
95,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
96,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
97,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
98,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
99,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
100,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
101,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
102,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
103,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
104,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
105,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
106,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
107,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
108,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
109,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
110,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
111,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
112,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
113,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
114,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
115,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
116,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
117,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
118,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
119,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
120,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
121,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
122,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
123,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
124,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
125,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
126,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
127,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
128,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
129,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
130,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
131,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
132,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
133,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
134,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
135,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
136,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
137,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
138,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
139,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
